页码,评论id,评论发布时间,评论点赞数,评论发布ip,评论,评论用户名
4,7322711410214028070,1704956559,2,广东,这首歌是我不会听腻的一首歌,吃个早餐
4,7322698715193164578,1704954720,0,湖南,太可惜了。林夕,愤世嫉俗-杰先生
4,7322694100700037929,1704952319,0,广东,副歌前面有段纯音乐，第一了真的,一斤盐
4,7322687483496547112,1704951028,0,广东,他不是被封了吗  怎么还能波,啊威十八式
4,7322679738349454132,1704948964,3,广东,刚开始听的时候，它还没有收费 [流泪],摄影-鹏鹏
4,7322652954183369506,1704943431,4,江苏,林夕牛逼,堿啊
4,7321803255793025844,1704740199,1,IP未知,倘若那天把该说的话好好说~,Thomas更迭
4,7321349991204569883,1704640981,0,江苏,有梦不难 [流泪],热心市民小吴
4,7321360073253552948,1704640470,1,浙江,伴奏封神,capture
4,7321359336490402587,1704640301,1,四川,@🌈交换余生（见过林俊杰版） 这首是我心中的TOP1,𝐒𝐥𝐢𝐯𝐚𝟐𝐊-
4,7321363282538464034,1704637730,0,河南,@zzzzz00 哇 能刷到了,刺槐
4,7321016214149513999,1704562411,5,广东,这歌刚出时才小学那时印象很深刻第一次在QQ音乐听林俊杰新歌 奔跑吧兄弟也火正好mv有baby 现在都大学了还是会经常听,风知云知空
4,7320663940173808420,1704474918,1,山东,@小年¹ 来吃细糠,在以后
4,7320623395375399719,1704469480,0,福建,@暂时有空（现场见过薛之谦版）  [流泪]哭死[大笑],半岛铁盒一万遍
4,7320620068982817590,1704468577,0,湖南,@清枫扶醉月暮色兮凉城 这首歌真的事杀人不见血啊,「Mr.王」
5,7320604315244512027,1704468331,0,广东,@暂时有空（现场见过薛之谦版）  [流泪]哭死,天青时等你
5,7320616907458020148,1704467275,1,江苏,这首歌我真爱了14年刚出听到现在,我爱吃橙子🍊
5,7320613036925846335,1704466853,0,广东,@k @hello小彤 好听爱听,是黑不是嘿
5,7320627009960395554,1704466307,1,陕西,生生,果仁壳
5,7320620975203156771,1704464897,0,湖南,他是梦[赞],天涯
5,7320620891258487603,1704464877,13,湖南,曲我不知道，林夕的词绝对不用怀疑,Ben
5,7320603989521859355,1704464180,0,广东,@czq  [泣不成声],eeeeeez
5,7320615860967179035,1704463706,3,广东,香港填词人三大佬黄伟文雷颂德林夕,大汉堡
5,7320586884958536475,1704463181,2,山东,第一次听这首歌的时候，突然又拾起关于她的记忆 ... 忍不住把那个MV发给了她,多肉
5,7320587309438927656,1704463107,0,四川,@の薇薇简 @相和  [流泪],程 艾 影
5,7320606794274587442,1704461595,6,浙江,作为90后才知道林夕这个名字多少牛逼,橘右津
5,7320584584223114036,1704461579,0,黑龙江,七叔哼唱 [尬笑] [尬笑] [尬笑],我觉得是先有鸡
5,7320593554459132713,1704461502,0,吉林,林夕写了很多好歌呀,朵瑞娅
5,7320595979122606889,1704461138,0,湖北,@Xh. 第一次听见这种的,爱情废柴
5,7320581912950326043,1704460168,0,河北,@因为舒服所以躺着 “我也想唱到他的词”,wc
5,7320587286123397907,1704459820,0,福建,我第一次听这个歌词的时候：哭惨了，第一次听《愿与愁》也是，哭到颤抖[微笑],“-”
5,7320598139709195046,1704459579,2,福建,这首歌以前听哭过，现在也不敢去听，怕破防[捂脸][捂脸],那白色的蜻蜓
5,7320586903529702185,1704459511,0,湖南,@让我再睡会儿 @烈酒. @Ander k. @燃烧的腿毛  [流泪],jiangyiqing695
5,7320566766291272457,1704457850,1,四川,现在再回去听 醉赤壁，满满的回忆,艾克丶
5,7320560952285774627,1704457261,2,河北,不喜欢林俊杰的歌，除了这一首 [流泪],安静张小雨
6,7320567844928111399,1704456848,0,北京,北京欢迎你好像就是他写的,别让青蛙迷了心
6,7320586296925487909,1704456823,1,重庆,梁伟文名不虚传,深海折耳根
